batch_id,wl_1000,wl_1100,wl_1200,wl_1300,wl_1400,wl_1500,wl_1600,wl_1700,wl_1800,wl_1900,wl_2000,wl_2100,wl_2200,wl_2300,wl_2400,moisture_pct_ref
B016,0.1994,0.2249,0.2433,0.2643,0.2997,0.3377,0.3454,0.3645,0.3882,0.4179,0.4305,0.4664,0.4928,0.5352,0.5507,2.391
B017,0.2233,0.2336,0.2752,0.2849,0.3272,0.356,0.3719,0.4274,0.4408,0.4439,0.4962,0.5144,0.5463,0.5787,0.6057,3.148
B018,0.2053,0.2447,0.2945,0.3303,0.3668,0.3963,0.3883,0.447,0.4507,0.5165,0.5334,0.55,0.612,0.6289,0.634,3.787
B019,0.2134,0.2304,0.2661,0.2876,0.3332,0.3325,0.3772,0.4194,0.4202,0.4579,0.485,0.5034,0.544,0.5657,0.5826,3.025
B020,0.2263,0.2435,0.2608,0.283,0.3084,0.3554,0.3685,0.4014,0.4218,0.4567,0.4763,0.5119,0.5293,0.5663,0.5916,2.936
B021,0.2152,0.2363,0.264,0.2945,0.3206,0.3676,0.387,0.4317,0.4673,0.4732,0.486,0.5262,0.5578,0.5721,0.613,3.319
B022,0.1954,0.2114,0.2317,0.2552,0.304,0.308,0.3247,0.3527,0.3893,0.3964,0.4314,0.4573,0.4809,0.5108,0.5147,2.128
B023,0.2176,0.2247,0.255,0.2972,0.3198,0.338,0.3524,0.3962,0.4107,0.4341,0.4632,0.4985,0.5011,0.5523,0.5767,2.813
B024,0.21,0.2547,0.2788,0.295,0.3228,0.3649,0.3711,0.4114,0.4368,0.4722,0.502,0.5287,0.5681,0.5874,0.6104,3.294
B025,0.2084,0.2571,0.2845,0.3232,0.3306,0.3677,0.3962,0.4253,0.4557,0.4678,0.5226,0.5503,0.5845,0.625,0.6287,3.524
B026,0.2068,0.2337,0.2796,0.2694,0.3181,0.325,0.3404,0.3726,0.4055,0.4565,0.4637,0.4966,0.5138,0.558,0.5674,2.856
B027,0.2277,0.2327,0.2631,0.3001,0.3272,0.3693,0.3844,0.3992,0.4338,0.4618,0.5029,0.5276,0.5507,0.5887,0.6028,3.226
B028,0.1546,0.1734,0.2024,0.2017,0.2148,0.2234,0.2563,0.2591,0.284,0.2771,0.3221,0.314,0.3351,0.369,0.3607,0.3
B029,0.2186,0.2493,0.2677,0.3203,0.351,0.3454,0.3798,0.4316,0.4396,0.4779,0.5122,0.547,0.567,0.5993,0.6198,3.469
B030,0.2096,0.216,0.2486,0.2644,0.2948,0.3164,0.3407,0.3565,0.3988,0.4293,0.4419,0.471,0.4964,0.5216,0.5396,2.332
B031,0.2189,0.2541,0.2747,0.2929,0.3315,0.341,0.3884,0.4212,0.458,0.4758,0.5121,0.5315,0.5498,0.5746,0.6076,3.341
B032,0.1782,0.2214,0.2362,0.2673,0.2856,0.3185,0.3419,0.3481,0.3751,0.3957,0.4081,0.4543,0.4827,0.494,0.5124,2.091
B033,0.1895,0.1755,0.2211,0.2412,0.2545,0.2945,0.3107,0.3188,0.3409,0.3583,0.3775,0.3899,0.4372,0.4541,0.4722,1.428
B034,0.1918,0.2491,0.2737,0.2813,0.296,0.322,0.3604,0.3727,0.407,0.4438,0.4435,0.5042,0.5254,0.5229,0.5467,2.636
B035,0.1962,0.2135,0.2459,0.2476,0.2959,0.341,0.3366,0.3698,0.3824,0.4285,0.4446,0.4911,0.4985,0.5175,0.5515,2.451
B036,0.2154,0.2365,0.2823,0.3069,0.3398,0.3712,0.3918,0.4305,0.4731,0.474,0.5318,0.5414,0.5656,0.6269,0.6336,3.526
B037,0.2317,0.255,0.2589,0.3057,0.3281,0.3488,0.3734,0.421,0.4547,0.4815,0.5034,0.5273,0.5543,0.5875,0.6116,3.399
B038,0.1933,0.2192,0.2344,0.2651,0.2838,0.3154,0.3445,0.3652,0.3922,0.3949,0.4317,0.4622,0.4899,0.4915,0.5331,2.269
B039,0.2322,0.2477,0.2779,0.3126,0.3399,0.3735,0.3968,0.4269,0.4469,0.4824,0.5259,0.5407,0.5703,0.5964,0.6385,3.508
B040,0.1894,0.2316,0.2377,0.2611,0.2983,0.3221,0.3483,0.3806,0.3904,0.4235,0.4345,0.4808,0.4991,0.5227,0.5438,2.399
B041,0.2011,0.2326,0.2678,0.2895,0.3179,0.33,0.3723,0.3905,0.4135,0.4497,0.4596,0.5121,0.5405,0.5584,0.5759,2.948
B042,0.197,0.2313,0.235,0.2874,0.3187,0.3353,0.3599,0.393,0.4211,0.4549,0.4705,0.4898,0.5185,0.5513,0.5915,2.824
B043,0.2082,0.2283,0.2575,0.2727,0.3244,0.3349,0.3637,0.3837,0.4197,0.464,0.4726,0.4957,0.5424,0.5646,0.5998,3.069
B044,0.2272,0.249,0.2653,0.3063,0.3418,0.3602,0.3809,0.4356,0.4497,0.479,0.5125,0.5519,0.5734,0.5967,0.6361,3.491
B045,0.2391,0.2603,0.282,0.2928,0.3703,0.3496,0.3866,0.4122,0.4642,0.4809,0.4912,0.537,0.5685,0.5887,0.6084,3.383
B046,0.2667,0.3105,0.3559,0.3914,0.4448,0.4688,0.5018,0.5526,0.6143,0.636,0.706,0.7283,0.7526,0.7968,0.8484,6.2
B047,0.206,0.2704,0.2655,0.3111,0.3477,0.3608,0.3807,0.4168,0.4519,0.4859,0.5065,0.5208,0.564,0.5856,0.5994,3.39
B048,0.2088,0.2298,0.2784,0.3203,0.3478,0.3519,0.3813,0.4212,0.4533,0.4669,0.498,0.5499,0.5551,0.5797,0.6142,3.287
B049,0.2083,0.2178,0.2511,0.2674,0.3018,0.3489,0.3631,0.3803,0.3974,0.4291,0.4683,0.4777,0.5233,0.5206,0.557,2.624
B050,0.2188,0.2066,0.2639,0.2588,0.3017,0.3262,0.3614,0.3469,0.3846,0.4234,0.4547,0.4707,0.5028,0.5184,0.5516,2.57
B051,0.1959,0.2327,0.262,0.2965,0.3015,0.3309,0.3604,0.383,0.4113,0.4221,0.4674,0.4805,0.506,0.5256,0.5791,2.718
B052,0.2146,0.2559,0.2756,0.2842,0.3189,0.3657,0.3789,0.4041,0.4416,0.4701,0.4901,0.5254,0.5523,0.5596,0.619,3.3
B053,0.1989,0.2465,0.2485,0.2707,0.3249,0.3236,0.3596,0.3985,0.4157,0.4289,0.4739,0.4966,0.5378,0.5574,0.6084,2.85
B054,0.2216,0.271,0.2937,0.349,0.3788,0.4113,0.4292,0.4626,0.4829,0.5535,0.5746,0.6001,0.6452,0.6765,0.7119,4.401
B055,0.1839,0.2181,0.2522,0.2788,0.3099,0.3153,0.3517,0.3975,0.4074,0.4342,0.4503,0.4832,0.5186,0.5267,0.5629,2.508
B056,0.1881,0.227,0.2545,0.2622,0.3051,0.3116,0.3347,0.367,0.4107,0.4188,0.4493,0.457,0.4894,0.5012,0.5315,2.341
B057,0.2276,0.248,0.292,0.3046,0.3337,0.3776,0.3874,0.4079,0.4652,0.4854,0.4888,0.54,0.5646,0.6152,0.6196,3.461
B058,0.2213,0.2488,0.2781,0.3125,0.3359,0.3707,0.3958,0.4277,0.4579,0.499,0.5282,0.5536,0.6014,0.627,0.6539,3.853
B059,0.2114,0.2604,0.2754,0.3062,0.304,0.3517,0.365,0.4109,0.4473,0.4653,0.5057,0.5187,0.5631,0.5703,0.6117,3.303
B060,0.2242,0.2547,0.2773,0.3273,0.3331,0.362,0.3682,0.4428,0.4507,0.4719,0.5262,0.5546,0.5726,0.5865,0.6343,3.501
